x,y,z,bridge,tunnel
2123.034,-3192.605,223.448,0,0
2117.337,-3191.823,223.965,0,0
2111.770,-3190.759,224.475,0,0
2106.526,-3189.412,224.963,0,0
2101.405,-3187.803,225.446,0,0
2096.439,-3185.915,225.924,0,0
2091.719,-3183.810,226.389,0,0
2087.149,-3181.439,226.852,0,0
2082.794,-3178.746,227.313,0,0
2078.610,-3175.715,227.778,0,0
2074.642,-3172.361,228.246,0,0
2071.086,-3168.675,228.707,0,0
2068.126,-3164.641,229.157,0,0
2065.571,-3160.282,229.612,0,0
2063.157,-3155.772,230.072,0,0
2060.747,-3150.943,230.558,0,0
2058.491,-3145.951,231.051,0,0
2056.272,-3140.917,231.546,0,0
2054.023,-3135.815,232.048,0,0
2051.812,-3130.670,232.425,0,0
2049.637,-3125.483,232.636,0,0
2047.527,-3120.133,232.846,0,0
2045.455,-3114.741,233.057,0,0
2043.254,-3109.471,233.275,0,0
2040.975,-3104.496,233.514,0,0
2038.577,-3099.637,233.793,0,0
2035.965,-3095.000,234.127,0,0
2033.259,-3090.768,234.530,0,0
2030.358,-3086.741,234.977,0,0
2027.187,-3083.018,235.417,0,0
2023.779,-3079.680,235.846,0,0
2020.111,-3076.635,236.275,0,0
2016.217,-3073.916,236.703,0,0
2012.050,-3071.545,237.134,0,0
2007.653,-3069.507,237.570,0,0
2003.056,-3067.697,238.015,0,0
1997.861,-3066.113,238.504,0,0
1992.438,-3064.790,239.006,0,0
1986.979,-3063.309,239.515,0,0
1981.253,-3061.489,240.056,0,0
1975.488,-3059.496,240.605,0,0
1969.865,-3057.218,241.151,0,0
1964.462,-3054.653,241.689,0,0
1959.198,-3051.807,242.228,0,0
1954.164,-3048.634,242.763,0,0
1949.380,-3045.119,243.298,0,0
1944.823,-3041.280,243.834,0,0
1940.580,-3037.163,244.366,0,0
1936.683,-3032.830,244.890,0,0
1933.093,-3028.225,245.416,0,0
1929.926,-3023.355,245.939,0,0
1927.242,-3018.124,246.468,0,0
1924.986,-3012.625,246.603,0,0
1923.036,-3007.048,246.618,0,0
1921.436,-3001.510,246.604,0,0
1920.135,-2995.896,246.569,0,0
1918.941,-2990.233,246.527,0,0
1917.752,-2984.445,246.491,0,0
1916.672,-2978.607,246.458,0,0
1915.770,-2972.755,246.416,0,0
1915.101,-2966.938,246.354,0,0
1914.608,-2961.108,246.271,0,0
1914.204,-2955.244,246.170,0,0
1913.859,-2949.225,246.055,0,0
1913.605,-2943.170,245.927,0,0
1913.427,-2937.151,245.792,0,0
1913.319,-2931.296,245.659,0,0
1913.285,-2925.475,245.549,0,0
1913.328,-2919.689,245.482,0,0
1913.399,-2914.004,245.455,0,0
1913.545,-2908.353,245.442,0,0
1913.906,-2902.859,245.421,0,0
1914.481,-2897.920,245.383,0,0
1915.242,-2893.118,245.327,0,0
1916.185,-2888.487,245.263,0,0
1917.139,-2884.342,245.202,0,0
1918.249,-2880.343,245.152,0,0
1919.747,-2876.579,245.110,0,0
1921.669,-2873.147,245.068,0,0
1923.959,-2869.937,245.015,0,0
1926.574,-2867.005,244.947,0,0
1929.592,-2864.301,244.863,0,0
1932.956,-2861.892,244.752,0,0
1936.664,-2859.767,244.583,0,0
1941.406,-2857.807,244.310,0,0
1946.592,-2856.212,243.925,0,0
1951.854,-2854.651,243.507,0,0
1957.267,-2853.009,243.185,0,0
1962.761,-2851.403,243.041,0,0
1968.290,-2849.679,243.070,0,0
1974.082,-2847.721,243.239,0,0
1979.911,-2845.636,243.534,0,0
1985.649,-2843.407,243.964,0,0
1991.175,-2841.067,244.504,0,0
1996.612,-2838.586,245.042,0,0
2001.952,-2835.963,245.577,0,0
2007.180,-2833.242,246.108,0,0
2012.313,-2830.382,246.637,0,0
2017.198,-2827.347,247.154,0,0
2021.466,-2824.288,247.627,0,0
2025.512,-2821.074,248.092,0,0
2029.552,-2817.772,248.561,0,0
2033.766,-2814.278,249.054,0,0
2037.973,-2810.692,249.469,0,0
2042.199,-2807.088,249.728,0,0
2046.510,-2803.450,249.960,0,0
2050.841,-2799.795,250.169,0,0
2055.200,-2796.108,250.355,0,0
2059.682,-2792.302,250.521,0,0
2064.193,-2788.464,250.668,0,0
2068.730,-2784.594,250.807,0,0
2073.401,-2780.631,250.942,0,0
2078.099,-2776.636,251.079,0,0
2082.792,-2772.547,251.211,0,0
2087.630,-2768.208,251.333,0,0
2092.463,-2763.770,251.442,0,0
2097.203,-2759.276,251.536,0,0
